英文,中文(DM),中文(github),中文(内部),日文
= ',,,,= '
Camera Focal Length,焦距,,,
(14589 tags total),,,,(合計14589タグ)
The generated file is a slugified version of the prompt and can be found in the same directory as the generated images.\nE.g. in ./outputs/txt2img-images/.,生成的文件包含处理过的提示词，和生成的图像在同一目录\n例如 ./outputs/txt2img-images/,生成的文件包含处理过的提示词，和生成的图像在同一目录\n例如 ./outputs/txt2img-images/,生成的文件包含处理过的提示词，和生成的图像在同一目录\n例如 ./outputs/txt2img-images/,生成されたファイルは、プロンプトのスラグ化されたバージョンであり、生成されたイメージと同じディレクトリにあります。\n例 ./outputs/txt2img-images/.
Model name (do not include extension) ? model,,,,モデル名 (拡張子を含まない) → モデル
Shoulder To Hip,肩-胯,,,
effective chekcer settings,有效元素筛查设置,,,
edit,当前使用滑动条编辑的值,,,
ControlNet v1.1.229,扩散控制网络(ControlNet),,,
Hypernetwork strength,超网络(Hypernetwork) 强度,超网络(Hypernetwork) 强度,超网络(Hypernetwork) 强度,
Use 8bit Adam,使用 8bit Adam,使用 8bit Adam,使用 8bit Adam,
Comma-separated list of tab names; tabs listed here will appear in the extra networks UI first and in order lsited.,,,,カンマで区切られたタブ名のリスト; ここにリストされているタブは、追加のネットワーク UI の最初の順序で表示されます。
"Scale the learning rate by the number of GPUs, gradient accumulation steps, and batch size.",通过 GPU 数量、梯度累加步数(gradient accumulation steps)和每批数量(batch size)来缩放学习率,通过 GPU 数量、梯度累加步数(gradient accumulation steps)和每批数量(batch size)来缩放学习率,通过 GPU 数量、梯度累加步数(gradient accumulation steps)和每批数量(batch size)来缩放学习率,
Save generation params text,,,,生成されたパラメータテキストを保存
cascadePSP,CascadePSP 算法设置,,,
Extra filename (for small sets of custom tags),附加词库文件（用于少量自定义标记）,附加词库文件（用于少量自定义标记）,附加词库文件（用于少量自定义标记）,追加ファイル名 (小規模なカスタムタグ用)
General Settings File,,,,一般設定ファイル
tp__deepl,,,,tp__deepl
Show predefined percentage buttons,,,,事前定義されたパーセントボタンを表示します
Schedule to use for official training stuff.,选择要用于训练官方东西的调度器,选择要用于训练官方东西的调度器,选择要用于训练官方东西的调度器,
disable convert 'AND' to 'BREAK',,,,'AND' から 'BREAK' への変換を無効化
dog-nudity,,,,犬-ヌード
? Save,,,? 保存,
ControlNet-7,控制网络-7,,,
Image Browser,图库浏览器,图库浏览器,图库浏览器,画像ブラウザー
Paste available values into the field,,,,利用可能な値をフィールドに貼り付ける
Generate lora weights when training completes.,,,,トレーニング完了時にLoRAの重みを生成します。
stable-diffusion-webui-text2prompt,,,,stable-diffusion-webui-text2prompt
(S10) Inter-Method,,(S10) 插值方法,(S10) 插值方法,
I want to preview GroundingDINO detection result and select the boxes I want.,预览 GroundingDINO 探测结果并选择特定选区,,预览GroundingDINO探测结果并选择所需要的包围盒,
tp__myMemory,,,,tp__myMemory
Save metadata as caption,将图片注释作为元数据存储,,,メタデータをキャプションとして保存
"Prompt, will append to your t2i prompt",输入区域提示词(Prompt),,正向提示词，会附加到原始正向提示词中,
Generate a checkpoint at the current training level.,,生成当前训练级别的模型权重进度(ckpt),生成当前训练级别的模型权重进度(ckpt),
Add number to filename when saving,储存的时候在文件名里添加数字,储存的时候在文件名里添加数字,储存的时候在文件名里添加数字,保存時にファイル名に番号を付加する
Preprocessor Preview,预处理结果预览,,预处理结果预览,
Multiplication (2^N),放大指数 N（放大倍率为2^N）,放大指数（2^N）,放大指数（2^N）,倍率(2^N)
a1111-sd-webui-locon,LoCon插件(允许LyCORIS以LoRA的形式调用),LoCon 插件,LoCon 插件,a1111-sd-webui-locon
"Reload custom script bodies (No ui updates, No restart)",重新加载自定义脚本主体（无用户界面更新，无重启）,重新加载自定义脚本主体（无用户界面更新，无重启）,重新加载自定义脚本主体（无用户界面更新，无重启）,カスタムスクリプトを再読込 (UIは変更されず、再起動もしません。)
model-keyword,,,,model-keyword
Colorbglayout,Colorbglayout,,,
Reset zoom and canvas positon,,,重置缩放和画布位置,
Select your favorite boxes:,选择效果最好的选区,,选择你想保留的包围盒,
OUT_A_10,,模型A 输出层10,模型A 输出层10,
This string will be used to join split words into a single line if the option above is enabled.,如果启用了上述选项，则此处的字符会用于将拆分的单词接合为同一行,如果启用了上述选项，则此处的字符会用于将拆分的单词接合为同一行,如果启用了上述选项，则此处的字符会用于将拆分的单词接合为同一行,この文字列は、上記のオプションが有効な場合に、分割された単語を1行に結合するために使用されます。
CFG scale,提示词相关性(CFG Scale),提示词相关性(CFG Scale),提示词相关性(CFG Scale),
Colorbgelevated,Colorbgelevated,,,
Memory Attention,,内存注意,内存注意,メモリに注意
Convert to ONNX,,,转换到ONNX,
tabs,,,,タブ
Upload prompt inputs,上传提示词输入文件,上传提示词输入文件,上传提示词输入文件,入力プロンプトをアップロードする
Denoising Diffusion Implicit Models - best at inpainting,Denoising Diffusion Implicit models - 最擅长局部重绘,Denoising Diffusion Implicit models - 最擅长局部重绘,Denoising Diffusion Implicit models - 最擅长局部重绘,Denoising Diffusion Implicit Models - inpaintingに最適
"NOTE: If the 'Generate' button doesn't work, go in Settings and click 'Restart Gradio and Refresh...'.",,注意：如果“生成”按钮不起作用，请进入“设置”并单击“重启 Gradio 及刷新...”。,注意：如果“生成”按钮不起作用，请进入“设置”并单击“重启 Gradio 及刷新...”。,
https://github.com/jtydhr88/sd-3dmodel-loader.git,,,,https://github.com/jtydhr88/sd-3dmodel-loader.git
model_C,模型C,,,
Move ControlNet tensor to CPU (if applicable),将 扩散控制网络张量(ControlNet tensor) 转移到CPU运算,,尝试用CPU计算ControlNet,
Kernel schedule,,,,カーネルスケジュール
p value,,,,p の値
Move to directory,将图片移动到目标路径,将图片移动到目标路径,将图片移动到目标路径,ディレクトリへ移動
Show Width/Height and Batch sliders in same row,将批次与批量设置整合到长宽设置的右侧,将批次与批量设置整合到长宽设置的右侧,将批次与批量设置整合到长宽设置的右侧,幅/高さとバッチスライダーを同じ行に表示する
name,文件名,名称,名称,名前
Load,载入,载入,载入,読み込み
Colortexttertiary,Colortexttertiary,,,
Enter a subject ? subject,,,,件名を入力 ? subject
Experimental Settings,,,,実験的な設定
Starting Control Step,干涉起始步数,,干涉开始位置,
There is *no* Batch mode like in vanilla deforum. Please Use the txt2img tab for that.,,,,vanilla deforumのようなバッチモードはありません。txt2imgタブを使用してください。
Restore faces,面部修复,面部修复,面部修复,顔の修復
Hires fix: show hires sampler selection,,,高清修复：显示高清修复采样器选项,
sd-webui-llul,"局部细化(Local Latent upscaLer, LLuL)插件",潜变量局部放大器,潜变量局部放大器,sd-webui-llul
spaceship-ukioe,,,,宇宙船 浮世絵
A negative prompt to use when generating preview images.,生成预览图像时使用的负面提示词,生成预览图像时使用的反向提示词,生成预览图像时使用的反向提示词,
copy to clipboard,复制,复制,复制,クリップボードにコピー
Colorbordersecondary,Colorbordersecondary,,,
Apply selection filter,将选择结果添加到筛选条件,,,選択フィルターを適用
Iterations ? iterations,,,,イテレーション数 ? iterations
Close,关闭,关闭,关闭,
Colorerrortext,Colorerrortext,,,
Active in img2img (Requires restart),在图生图页面启用（需要保存设置并重启）,在图生图页面启用（需要保存设置并重启）,在图生图页面启用（需要保存设置并重启）,img2imgで有効 (再起動が必要)
Prev batch,上一批,上一批,上一批,
Stop XY,终止XY队列,,,
Edit Tags,编辑为：,,,タグの編集
Magic prompt model,,,,Magic prompt モデル
System Info tab for WebUI which shows realtime information of the server. Also supports sending crowdsourced inference data as an option.,,,,サーバーのリアルタイム情報を表示するWebUIのシステム情報タブ。オプションとしてクラウドソースの推論データを送信することもできます。
(M6) Multiplier,,(M6) 倍率,(M6) 倍率,
X offset (A),X 偏移 (A),X 偏移 (A),X 偏移 (A),
Enable postprocessing operations in txt2img and img2img tabs,在文生图/图生图选项卡中启用后处理操作,在文生图/图生图选项卡中启用后处理操作,在文生图/图生图选项卡中启用后处理操作,Txt2img および img2img タブで後処理操作を有効にする
Segment Anything status,执行状态,,运行状态,
Just resize (latent upscale),仅调整大小 (潜空间放大),直接缩放 (放大潜变量),直接缩放 (放大潜变量),変形(latent アップスケール)
Delete num :,被删除的预约序号：,,,
New Scribble Drawing Height,草图画布高度,,,
img2img_autosize: Automatically adjusts the width and height parameters in img2img mode based on the proportions of the input image.,,,,img2img_autosize: 入力画像の比率に基づいて、img2imgモードで幅と高さのパラメータを自動的に調整します。
sigma,,,,sigma
"In the window that appears, click",,,,表示されるウィンドウで次のように入力します。
B,,,,B
Auto-include this in prompt,,,,プロンプトに自動的に含める
Start drawing,开始绘制,开始绘制,开始绘制,
spaceship-anime,,,,宇宙船-アニメ
ControlNet - 5,扩散控制网络(ControlNet) - 5,,,
Tags,,标签(Tags),标签(Tags),タグ
tp__lingvanex,,,,tp__lingvanex
keyword,搜索,搜索,搜索,
DPM++ 2S a,DPM++ 2S a,,,DPM++ 2S a
difference,,,,差の絶対値
am,,,,am
default = 0.99,,,,既定値 = 0.99
Extra steps,额外基准步骤,,,
tp_mglip,,,,tp_mglip
X/Y/Z plot,X/Y/Z 图表,X/Y/Z 图表,X/Y/Z 图表,X/Y/Zプロット
"Path to classifier ckpt, can be empty",分类器的路径，可留空,分类器的路径，可留空,分类器的路径，可留空,分類モデルckptのパス。空白にすることもできます。
Send to Layer4,,,,レイヤー4に転送
Copy collection,,,,コレクションをコピー
CLIP_test,,,,CLIP_test
Y Types,X轴类型,,,
softplus,softplus,,,softplus
Use same sampler,,,使用高清修复前同样的方法（不可用时使用DDIM）,
INVISIBLE,,,,非表示
"Multiplication (x0.5, x1.5)",,,,"比率 (x0.5, x1.5)"
/,根目录,,,/
Remember that each generation overwrites previous frames in the same folder.,,,,Remember that each generation overwrites previous frames in the same folder.
Open new canvas,,,打开新建画布设置,
You can also download generated pictures from here:,,,,ここから生成された画像をダウンロードすることもできます:
"Skip negative prompt for steps where image is already mostly denoised; the higher this value, the more skips there will be; provides increased performance in exchange for minor quality reduction.",,,在图像已经大部分去噪的步骤中跳过负面提示词的处理；这个值越高，跳过的步骤就越多；以轻微的质量降低，换取了更高的性能。,
Preset_Weights,预设权重,预设权重,预设权重,
Triple sum:A*(1-alpha-beta)+B*alpha+C*beta,三项和（ A×(1-α-β) + B×α + C×β ）,,,
Use minimal area for face selection (for multiple faces),,,多张人脸时，使用较小的识别区域,
Upscale ratio,,,,アップスケール比
Checkpoint Format,模型格式,模型格式,模型格式,
https://github.com/Coyote-A/ultimate-upscale-for-automatic1111.git,,,,https://github.com/Coyote-A/ultimate-upscale-for-automatic1111.git
"Recommended settings: Use from inpaint tab, inpaint at full res ON, denoise <0.5",推荐设置：于局部重绘选项卡使用，开启全分辨率局部重绘，重绘幅度(Denoising) < 0.5,推荐设置：于局部重绘选项卡使用，开启全分辨率局部重绘，重绘幅度(Denoising) < 0.5,推荐设置：于局部重绘选项卡使用，开启全分辨率局部重绘，重绘幅度(Denoising) < 0.5,
Latent (antialiased),Latent（抗锯齿）,潜变量 (抗锯齿),潜变量 (抗锯齿),Latent (アンチエイリアス補間)
Automatically update your prompt with interesting modifiers. (Runs slowly the first time),使用有趣的修饰符自动更新你的提示词。（第一次运行会比较慢）,使用有趣的修饰符自动更新你的提示词。（第一次运行会比较慢）,使用有趣的修饰符自动更新你的提示词。（第一次运行会比较慢）,面白い修飾子で自動的にプロンプトを更新します。(最初はゆっくりと実行)
AdamW weight decay parameter,,,,AdamW weight decay パラメータ
Inpaint masked,重绘蒙版内容,重绘蒙版内容,重绘蒙版内容,マスクの範囲をinpaint
Search and Replace for all images displayed.,搜索/替换（所有当前显示的图像）,,,表示されているすべての画像に対して検索して置換します。
History,历史记录,历史记录,历史记录,履歴
Copy caption from selected images automatically,自动从选中图像复制注释信息,,,選択した画像からキャプションを自動でコピー
Sequential Merge Parameters,合成参数队列,,,
pix2pix_zero: A diffusion-based image-to-image approach that allows users to specify the edit direction on-the-fly.,,,,pix2pix_zero: ユーザーがオンザフライで編集方向を指定できる、拡散ベースの画像から画像へのアプローチ。
IN01,,输入层01,输入层01,
Booru Score Threshold,DeepBooru 置信阈值下限,,,Booruスコアのしきい値
k value,,,,k の値
instance2mask: Creates an image mask from instances of types specified by the content for use with inpainting.,,,,instance2mask: inpaintingで使用するために、コンテンツで指定されたタイプのインスタンスからイメージマスクを作成します。
This panel is for those who want to upload mask to ControlNet inpainting. It is not part of the SAM feature. It might be removed someday when ControlNet support uploading image and mask. It serves as a temporarily workaround to overcome the unavailability of image with mask uploading feature in ControlNet extension.,,,这个页面是为那些想要上传蒙版到ControlNet重绘中的用户提供的。它不是SAM功能的一部分。当ControlNet支持上传蒙版时，这哥功能可能会被移除。它是解决ControlNet中没有上传蒙版功能的临时解决方案。,
Enabling the Krita Plugin,,,,Krita プラグインを有効にする
hidden_idx_next,hidden_idx_next,,,hidden_idx_next
". filename cannot have ',' inside, and files should be splitted by ','.",,,,". ファイル名には「,」を含めることはできず、ファイルは「,」で区切られる必要があります。"
display both english and target language,显示双语对照界面翻译（使用汉化包时请关闭，会引起界面臃肿）,,,英語と翻訳先の言語の両方を表示
Segment Anithing & CLIP,Segment Anithing 与 CLIP 设置,,,
Preserves the UI state after reload/restart.,,,,リロード/再起動後にUI状態を保持します。
(O)Output Model Name,输出模型文件名,输出模型文件名,输出模型文件名,
ControlNet v1.1.224,扩散控制网络(ControlNet),,,
ControlNet Unit 9,控制单元 9,,,
deepbooru: sort tags alphabetically,,,deepbooru: tag字母表排序,
Saving,,,,保存中
Quicksettings list,"快捷设置列表（将显示在页面最上方，建议填入""sd_model_checkpoint,sd_vae""）","快捷设置列表（将显示在页面最上方，建议填入""sd_model_checkpoint,sd_vae""）","快捷设置列表（将显示在页面最上方，建议填入""sd_model_checkpoint,sd_vae""）",クイック設定
OUT04,,输出层04,输出层04,
(M3) Multiplier,,(M3) 倍率,(M3) 倍率,
Image for img2img,图生图的图像,图生图的图像,图生图的图像,img2imgで使用する画像
Save Pose,保存动作,保存动作,保存动作,
Upscaler 2,放大算法 2 (Upscaler 2),放大算法 2 (Upscaler 2),放大算法 2 (Upscaler 2),アップスケーラー 2
Region 4,区域 4,区域 4,区域 4,
UniPC order (must be < sampling steps),UniPC 阶数（必须小于采样迭代次数）,UniPC 阶数 (推荐有提示词时使用2阶，无提示词使用3阶),UniPC 阶数 (推荐有提示词时使用2阶，无提示词使用3阶),UniPC 次数 (サンプリングステップ数未満でなければなりません)
Enable thumbnail tooltips,启用缩略图工具提示,,启用缩略图提示,
You cannot preview segmentation because you have not added dot prompt.,未添加提示点，无法预览,,,
The number of steps to use when generating classifier/regularization images.,生成分类/规范化图像时使用的步数,生成分类/规范化图像时使用的步数,生成分类/规范化图像时使用的步数,
Stop processing current image and continue processing.,停止处理当前图像，并继续处理下一个,停止处理当前图像，并继续处理下一个,停止处理当前图像，并继续处理下一个,現在行っている処理を中断し、その次以降の処理を継続
ControlNet v1.1.141,扩散控制网络(ControlNet),,,
Lerp,,线性插值,线性插值,線形補間
"Instead of generating random prompts from a template, combinatorial generation produces every possible prompt from the given string.\nThe prompt 'I {love|hate} {New York|Chicago} in {June|July|August}' will produce 12 variants in total.\n\nThe value of the 'Seed' field is only used for the first image. To change this, look for 'Fixed seed' in the 'Advanced options' section.",,,,テンプレートからランダムなプロンプトを生成する代わりに、組合せ生成は与えられた文字列から生成される可能性のある、あらゆるプロンプトを生成します。\n 'I {love|hate} {New York|Chicago} in {June|July|August}' というプロンプトは、全部で12種類のバリエーションが生成されます。
Output directory for img2img grids,图生图宫格的输出目录,图生图宫格的输出目录,图生图宫格的输出目录,img2imgグリッド画像の出力ディレクトリ
Select shortcode:,,,,ショートコードを選択:
Randomly selects a keyword from the prompt and adds emphasis to it. Try this with Fixed Seed enabled.,随机强调提示词中的一个关键词，尝试前要启用固定随机种子,随机强调提示词中的一个关键词，尝试前要启用固定随机种子,随机强调提示词中的一个关键词，尝试前要启用固定随机种子,ランダムにプロンプトからキーワードを選択し、強調します。固定シードを有効にしてみてください。
display_samples,,显示样本,显示样本,display_samples
Delete 0-entries from exif cache,,,,exif キャッシュから 0 エントリを削除
Version,版本信息,版本信息,版本信息,バージョン
Total Images,,,,総画像数
All Reste,全部重置,全部重置,全部重置,
Background,背景,背景,背景,
Strength,,,,強度
Disable prompt token counters,,,禁用提示词token计数,
Add a random artist to the prompt.,随机添加一个艺术家到提示词中,随机添加一个艺术家到提示词中,随机添加一个艺术家到提示词中,
float,储存为float32,,,
Open New Scribble Drawing Canvas,创建空白画布绘制草图,,,
String to prepend to the variable ? _before,,,,変数の先頭に追加する文字列 ? _before
"Enter relative to webui folder or Full-Absolute path, and make sure it ends with something like this: '20230124234916_%05d.png', just replace 20230124234916 with your batch ID. The %05d is important, don't forget it!",,,,Webuiフォルダに対して相対パスを入力するか、完全な絶対パスを入力し、最後に次のような形式になるようにしてください：'20230124234916_%05d.png'。単に20230124234916をバッチIDに置き換えてください。%05dは重要ですので、忘れないでください！
Predefined percentage display format,,,,定義済みパーセント表示形式
To enable seed schedule select seed behavior — 'schedule',,要启用种子调度，请选择随机种子行为——“调度”,要启用种子调度，请选择随机种子行为——“调度”,
Use EMA for prediction,,,,予測にEMAを使用する
-->,,,,-->
Original frames folder,,,,オリジナルフレームフォルダ
Insert before,在前面插入,在前面插入,在前面插入,前に挿入
Advanced options,高级选项,高级选项,高级选项,高度な設定
Show previews of all images generated in a batch as a grid,以宫格图的形式，预览批量生成的所有图像（建议开启）,以宫格图的形式，预览批量生成的所有图像（建议开启）,以宫格图的形式，预览批量生成的所有图像（建议开启）,バッチで生成されたすべての画像のプレビューをグリッドとして表示する
Live preview file format,,,实时预览文件的格式,
also delete off-screen images,同时删除屏幕外的图,,即时未显示的图片也会被删除,画面外の画像も削除します
and generate images according to random segmentation which preserve image layout.,,,使用的。,
silueta,,,,シルエット
(A7) Primary,,(A7) 主要,(A7) 主要,
tags from the images displayed., Tags（已显示的范围内）,,,画像からタグが表示されます。
Lower Leg,小腿,,,
Post Processing,后处理设置,,,
"Restart Gradio and Refresh components (Custom Scripts, ui.py, js and css only)",重启 Gradio 及刷新组件（仅限自定义脚本、ui.py、js 和 css）,重启 Gradio 及刷新组件（仅限自定义脚本、ui.py、js 和 css）,重启 Gradio 及刷新组件（仅限自定义脚本、ui.py、js 和 css）,
In FPS,,,,FPSで
Embedding token,Embedding 的词元(Token) / 关键词,Embedding 的词元(Token) / 关键词,Embedding 的词元(Token) / 关键词,
Date to,日期至,日期至,日期至,
List-Up checkpoints,,列出模型(ckpts),列出模型(ckpts),
Other,,,,その他
tokenizer,词元分析器(tokenizer),词元分析器(tokenizer),词元分析器(tokenizer),tokenizer
depth,深度信息估算（MiDaS 算法）,MiDaS 深度信息估算（MiDaS depth estimation）,MiDaS 深度信息估算（MiDaS depth estimation）,深度
", port for AUTOMATIC1111's webui maintained by",,,,、 AUTOMATIC1111 の webui のためのポートは整備されている:
Options can be given weights:,,,,オプションでweightを与えられます
"Color coherence may be used with hybrid composite off, to just use video color.",,,,カラーコヒーレンスは、ビデオカラーを使用するために、ハイブリッドコンポジットオフで使用することができます。
number of images to delete consecutively next,接下来要连续删除的图像数,接下来要连续删除的图像数,接下来要连续删除的图像数,
Negative mask prompt ? negative_mask,,,,ネガティブマスクプロンプト ? negative_mask
ControlNet v1.1.259,扩散控制网络(ControlNet),,,
Normal background threshold,背景识别阈值（Normal background threshold）,背景识别阈值（Normal background threshold）,背景识别阈值（Normal background threshold）,
n,,,,n
Nothing here. Add some content to the following directories:,无内容，请将模型添加到以下目录:,无内容，请将模型添加到以下目录:,无内容，请将模型添加到以下目录:,ここには何もありません。以下のディレクトリにコンテンツを追加してください。
sd-webui-model-converter,模型格式转换插件,模型格式转换插件,模型格式转换插件,
extras history,附加功能选项卡的历史记录,附加功能选项卡的历史记录,附加功能选项卡的历史记录,
Weight,权重（Weight）,权重（Weight）,权重（Weight）,重み
Disable for Negative prompt.,为负面提示词(Negative prompt)禁用色彩分离,,不对反向提示词生效,ネガティブプロンプトでは無効化
Swap hotkey combinations for Zoom and Adjust brush resize,,,交换缩放和调整画笔大小的快捷键,
Write template into image metadata.,,,,テンプレートを画像メタデータに書き込む。
Comp mask contrast schedule,,,,コンポジットマスクのコントラストスケジュール
Overwrite existing,,,,既存の内容を上書き
Face,,,面部,
Saved elements from img2img,,,,img2img から保存された要素
Mask Init,,,,マスクの初期値
Minimum attention,,,,Attentionの最小値
Enable Dynamic Thresholding (CFG Scale Fix),启用动态阈值(CFG Scale Fix),启用动态阈值(提示词相关性修复 - CFG Scale Fix),启用动态阈值(提示词相关性修复 - CFG Scale Fix),
Estimated Image Generator for Pose2Image. This extension allows moving the openpose figure in 3d space.,,,,Pose2Image用の推定画像生成ツールです。この拡張機能により、openposeのフィギュアを3D空間で動かすことができます。
Models,Stable Diffusion 模型(ckpt),模型,模型,
"Allows you to include various shortcodes in your prompts. You can pull text from files, set up your own variables, process text through conditional functions, and so much more - it's like wildcards on steroids.",允许你在提示词中包含各种短代码。 你可以从文件中提取文本、设置自己的变量、通过条件函数处理文本等等 - 就像是增强版的通配符,允许你在提示词中包含各种短代码。 你可以从文件中提取文本、设置自己的变量、通过条件函数处理文本等等 - 就像是增强版的通配符,允许你在提示词中包含各种短代码。 你可以从文件中提取文本、设置自己的变量、通过条件函数处理文本等等 - 就像是增强版的通配符,
ControlNet v1.1.114,扩散控制网络(ControlNet),,,
Auto SAM Config,Auto SAM 选项,,Auto SAM设置,
left,左侧,左,左,左
[extension],,,,[extension]
Force CFG scale to this value ? cfg_scale,,,,CFGスケールをこの値に強制する ? cfg_scale
Paste the folder location below.,,,,フォルダの場所を以下に貼り付けます。
"Although Video to Video is the most efficient way, a DFI One Shot method is under experimental development as well.",,,,"Although Video to Video is the most efficient way, a DFI One Shot method is under experimental development as well."
ControlNet v1.1.265,扩散控制网络(ControlNet),,,
Sampler parameters,采样器参数,采样器参数,采样器参数,サンプラーのパラメータ
Append Medium tags from CLIP,,,,CLIPからミディアムタグを追加
a1111-stable-diffusion-webui-vram-estimator,显存评估插件(VRAM Estimator),显存评估插件(VRAM Estimator),显存评估插件(VRAM Estimator),a1111-stable-diffusion-webui-vram-estimator
Extra generation params,从生成参数的文本提取潜空间分区参数,从生成参数的文本提取潜空间分区参数,从生成参数的文本提取潜空间分区参数,追加生成パラメータ
Local directory name,本地目录名,本地目录名,本地目录名,ローカルディレクトリ名
This smoothes the edges of the interpolated areas. Low values are currently recommended until the algorithm is updated.,,,,This smoothes the edges of the interpolated areas. Low values are currently recommended until the algorithm is updated.
https://github.com/tsngo/stable-diffusion-webui-aesthetic-image-scorer.git,,,,https://github.com/tsngo/stable-diffusion-webui-aesthetic-image-scorer.git
Ignore selected VAE for stable diffusion checkpoints that have their own .vae.pt next to them,对于拥有同名 .vae.pt 的模型，忽略掉选中的 VAE,对于拥有同名 .vae.pt 的模型，忽略掉选中的 VAE,对于拥有同名 .vae.pt 的模型，忽略掉选中的 VAE,Checkpointに対応するファイル名の.vae.ptがあるなら、選択されたVAEを無視する
Filter NSFW content,过滤成人内容(NSFW)（不建议开启）,过滤成人内容(NSFW)（不建议开启）,过滤成人内容(NSFW)（不建议开启）,
eta (noise multiplier) for ancestral samplers,ancestral 采样器的 eta (噪声乘数，建议值0.67),ancestral 采样器的 eta (噪声乘数，建议值0.67),ancestral 采样器的 eta (噪声乘数，建议值0.67),Ancestralサンプラーで用いるeta (noise multiplier)
Existing Prompt Contents,现存的提示词内容,现存的提示词内容,现存的提示词内容,
Disable dynamic prompts by unchecking this box.,取消勾选来禁用动态提示词,取消勾选来禁用动态提示词,取消勾选来禁用动态提示词,このボックスのチェックを外すと、ダイナミックプロンプトが無効になります。
Concept 1,,,,コンセプト 1
Process,,,,プロセス
Deactivate Selected Script,停用所选脚本,停用所选脚本,停用所选脚本,
Number of beams (0 = no beam search),,,,ビーム幅 (0 = ビームサーチしない)
Adam Epsilon,Adam Epsilon (替代 0 的常量，防止直接除以 0),Adam Epsilon (替代 0 的常量，防止直接除以 0),Adam Epsilon (替代 0 的常量，防止直接除以 0),
"else: Returns content if a previous conditional shortcode failed its check, otherwise discards content.",,,,else: 前の条件付きショートコードがチェックに失敗した場合、コンテンツを返します。そうでなければ、コンテンツを破棄します。
ControlNet v1.1.249,扩散控制网络(ControlNet),,,
a1111-sd-webui-haku-img,,,,a1111-sd-webui-haku-img
Enables using AND keyword(composable diffusion) to limit LoRAs to subprompts. Useful when paired with Latent Couple extension.,,,,ANDキーワード（Composable diffusion）を使って、LoRAをサブプロンプトに限定できるようになります。Latent Couple extensionと組み合わせると便利です。
Civitai URL or Model ID,Civitai网址 或 模型ID,,,
Load from subdirectories,从子目录加载,,,サブディレクトリから読み込む
xh,,,,xh
sd-parseq,,,,sd-parseq
Replace order,取代顺序,取代顺序,取代顺序,
"Here you can check examples of the motion map for those parameters. It is useful, for example, to adjust denoise if you see that it detects unnecessary graininess. Keep in mind that what you see represents movement between two frames.",,,,ここでは、それらのパラメータに対するモーションマップの例を確認することができます。例えば、不要な粒状性を検出した場合、ノイズを調整するのに有効です。あくまで2フレーム間の動きであることを意識してください。
Literals,字面量,字面量,字面量,リテラル
Enable Tag Autocompletion,启用Tag自动补全,启用Tag自动补全,启用Tag自动补全,自動タグ補完を有効化
?,?,,,
Maximum number to be returned ? _max,,,,返される最大数 ? _max
keep whatever was there originally,保留原来的图像，不进行预处理,保留原来的图像，不进行预处理,保留原来的图像，不进行预处理,もともとあったものをそのままにする
Low VRAM (8GB or below),显存优化,"低显存（8GB以下）模式（需配合启动参数""--lowvram""）","低显存（8GB以下）模式（需配合启动参数""--lowvram""）",
UNet Weight 3,UNet 权重 3,UNet 权重 3,UNet 权重 3,UNetの重み 3
txt2img_hires_steps,高分辨率修复-采样次数,,,
Categorical mask status,执行状态,,语义分割运行状态,
number of -1,将 “-1” 替换为,,,
Bulk process frames with chosen outfill method,使用选定的填充方法批量处理截取的帧,使用选定的填充方法批量处理截取的帧,使用选定的填充方法批量处理截取的帧,
Reset,清空画面,清空画面,清空画面,リセット
debug,,,,デバッグ
la,,,,la
Remove duplicate tags,移除重复的 Tag,,,重複するタグを削除
Y Values,X轴值,,,
CLIP Skip,,,,CLIP スキップ
ControlNet v1.1.152,扩散控制网络(ControlNet),,,
wd-v1-4-convnext-tagger-v2,,,,wd-v1-4-convnext-tagger-v2
With confidence,将置信度作为Tag的权重,,,
Force convert half to float on interpolation (for some platforms),插值时强制将半精度转化为单精度浮点（对于某些平台有效，详见GitHub页面）,插值时强制将半精度转化为单精度浮点（对于某些平台有效，详见 GitHub）,插值时强制将半精度转化为单精度浮点（对于某些平台有效，详见 GitHub）,強制的に半分を float に変換します(一部のプラットフォーム向け)
ControlNet v1.1.155,扩散控制网络(ControlNet),,,
Prompt Translator,机翻提示词(Prompt Translator),,,Prompt Translator
MiDaS weight,,,,MiDaSの重み
sd_smartprocess,智能预处理,智能预处理,智能预处理,sd_smartprocess
prompt-bracket-checker,提示词括号匹配检测,,提示词括号检查,prompt-bracket-checker
-50%,,,,-50%
BLIP,,,,BLIP
DFI Tolerance:,,,,許容範囲:
Card height for Extra Networks (px),缩略预览图高度（像素，推荐设置为106，保持预览图为2:3比例显示）,,自定义卡片高度，像素,追加ネットワークのカードの高さ (px)
(S7) Inter-Method,,(S7) 插值方法,(S7) 插值方法,
IN07,,输入层07,输入层07,
Drag Mouse,,,鼠标拖动,
CLIP: maximum number of lines in text file,,,CLIP: 文本文件最大行数,
Target ControlNet number,接收此图像的 扩散控制网络(ControlNet) 编号,接收此图像的 ControlNet 编号,接收此图像的 ControlNet 编号,ターゲットのControlNet number
Ar4ikov/gpt2-medium-650k-stable-diffusion-prompt-generator,,,,Ar4ikov/gpt2-medium-650k-stable-diffusion-prompt-generator
